Dataset,Field,Compressor,Node,Rank,Cores,REL Error Bound,I/O Method,Iteration,Compression Runtime (s),I/O Runtime (s),Compression Energy (J),I/O Energy (J),Compressed Data Size
nyx,temperature.f32,SZ3,5,6,256,1.000000e-03,HDF5,8,6.884385e+00,5.717528e-02,1.880547e+03,1.379879e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,HDF5,9,6.884393e+00,5.931955e-02,1.943228e+03,1.612154e+01,984854
nyx,temperature.f32,SZ3,1,5,256,1.000000e-03,HDF5,9,6.884394e+00,5.931595e-02,1.900417e+03,1.597725e+01,984854
nyx,temperature.f32,SZ3,2,5,256,1.000000e-03,NetCDF,0,6.884395e+00,1.000964e-01,1.843475e+03,2.822667e+01,984854
nyx,temperature.f32,SZ3,5,6,256,1.000000e-03,NetCDF,0,6.884385e+00,1.000941e-01,1.880547e+03,2.763354e+01,984854
nyx,temperature.f32,SZ3,1,5,256,1.000000e-03,NetCDF,1,6.884394e+00,8.615553e-02,1.900417e+03,1.941456e+01,984854
nyx,temperature.f32,SZ3,4,6,256,1.000000e-03,NetCDF,2,6.884366e+00,5.920310e-02,1.822285e+03,1.392935e+01,984854
nyx,temperature.f32,SZ3,5,6,256,1.000000e-03,NetCDF,2,6.884385e+00,5.920321e-02,1.880547e+03,1.530141e+01,984854
nyx,temperature.f32,SZ3,4,6,256,1.000000e-03,NetCDF,3,6.884366e+00,1.274553e-01,1.822285e+03,3.535410e+01,984854
nyx,temperature.f32,SZ3,2,5,256,1.000000e-03,NetCDF,4,6.884395e+00,5.897709e-02,1.843475e+03,1.488918e+01,984854
nyx,temperature.f32,SZ3,3,5,256,1.000000e-03,NetCDF,5,6.884387e+00,5.719065e-02,1.899479e+03,1.531637e+01,984854
nyx,temperature.f32,SZ3,2,5,256,1.000000e-03,NetCDF,6,6.884395e+00,5.261206e-02,1.843475e+03,1.328750e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,NetCDF,7,6.884393e+00,2.615272e-01,1.943228e+03,8.207761e+01,984854
nyx,temperature.f32,SZ3,0,5,256,1.000000e-03,NetCDF,8,6.884393e+00,7.225786e-02,1.943228e+03,1.949061e+01,984854
nyx,temperature.f32,SZ3,2,5,256,1.000000e-03,NetCDF,9,6.884395e+00,6.065938e-02,1.843475e+03,1.597750e+01,984854
nyx,temperature.f32,ZFP,4,6,256,1.000000e-03,HDF5,0,2.436644e+00,2.062254e-01,6.792486e+02,5.805167e+01,21233456
nyx,temperature.f32,ZFP,2,5,256,1.000000e-03,HDF5,1,2.436662e+00,1.718131e-01,7.003000e+02,4.402943e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,HDF5,2,2.436663e+00,2.343210e-01,7.274109e+02,6.699653e+01,21233456
nyx,temperature.f32,ZFP,4,6,256,1.000000e-03,HDF5,3,2.436644e+00,2.478941e-01,6.792486e+02,6.855640e+01,21233456
nyx,temperature.f32,ZFP,2,5,256,1.000000e-03,HDF5,4,2.436662e+00,2.362050e-01,7.003000e+02,6.175967e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,HDF5,5,2.436663e+00,2.410497e-01,7.274109e+02,6.227126e+01,21233456
nyx,temperature.f32,ZFP,1,5,256,1.000000e-03,HDF5,6,2.436653e+00,2.609312e-01,7.143909e+02,7.410467e+01,21233456
nyx,temperature.f32,ZFP,5,6,256,1.000000e-03,HDF5,6,2.436650e+00,2.609585e-01,7.084179e+02,7.686333e+01,21233456
nyx,temperature.f32,ZFP,4,6,256,1.000000e-03,HDF5,7,2.436644e+00,2.541334e-01,6.792486e+02,6.979413e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,HDF5,8,2.436663e+00,2.368517e-01,7.274109e+02,6.551888e+01,21233456
nyx,temperature.f32,ZFP,5,6,256,1.000000e-03,HDF5,8,2.436650e+00,2.368367e-01,7.084179e+02,6.809632e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,HDF5,9,2.436663e+00,1.949735e-01,7.274109e+02,5.413340e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,NetCDF,0,2.436663e+00,2.871704e-01,7.274109e+02,7.871006e+01,21233456
nyx,temperature.f32,ZFP,2,5,256,1.000000e-03,NetCDF,1,2.436662e+00,3.078775e-01,7.003000e+02,8.294901e+01,21233456
nyx,temperature.f32,ZFP,1,5,256,1.000000e-03,NetCDF,2,2.436653e+00,2.981264e-01,7.143909e+02,8.319400e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,NetCDF,3,2.436663e+00,2.726973e-01,7.274109e+02,7.748711e+01,21233456
nyx,temperature.f32,ZFP,5,6,256,1.000000e-03,NetCDF,4,2.436650e+00,2.309893e-01,7.084179e+02,6.442873e+01,21233456
nyx,temperature.f32,ZFP,4,6,256,1.000000e-03,NetCDF,5,2.436644e+00,2.371866e-01,6.792486e+02,6.303542e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,NetCDF,6,2.436663e+00,2.377854e-01,7.274109e+02,6.896711e+01,21233456
nyx,temperature.f32,ZFP,4,6,256,1.000000e-03,NetCDF,7,2.436644e+00,3.038307e-01,6.792486e+02,7.720140e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,NetCDF,8,2.436663e+00,2.423335e-01,7.274109e+02,6.459908e+01,21233456
nyx,temperature.f32,ZFP,0,5,256,1.000000e-03,NetCDF,9,2.436663e+00,2.444977e-01,7.274109e+02,6.831892e+01,21233456
nyx,temperature.f32,QoZ,2,5,256,1.000000e-03,HDF5,0,4.953237e+00,2.517788e-01,1.490259e+03,7.158807e+01,1243160
nyx,temperature.f32,QoZ,4,6,256,1.000000e-03,HDF5,1,4.953187e+00,7.351995e-02,1.467622e+03,1.900459e+01,1243160
nyx,temperature.f32,QoZ,3,5,256,1.000000e-03,HDF5,2,4.953244e+00,7.366331e-02,1.489899e+03,1.984718e+01,1243160
nyx,temperature.f32,QoZ,2,5,256,1.000000e-03,HDF5,3,4.953237e+00,5.403408e-02,1.490259e+03,1.362777e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,HDF5,4,4.953220e+00,5.921316e-02,1.497872e+03,1.562124e+01,1243160
nyx,temperature.f32,QoZ,0,5,256,1.000000e-03,HDF5,5,4.953221e+00,5.701985e-02,1.480549e+03,1.534945e+01,1243160
